developer_id,journey_id,fast_score,consistent_score,reflective_score,cluster,pace_label
3390,14,1,0,1,1,consistent learner
3390,51,1,1,0,0,fast learner
3390,55,0,1,1,2,reflective learner
3390,60,1,0,1,1,consistent learner
3390,80,1,0,1,1,consistent learner
3390,86,1,0,1,1,consistent learner
3390,120,1,0,0,0,fast learner
3390,123,1,0,0,0,fast learner
3390,129,0,0,0,2,reflective learner
3390,133,1,1,1,1,consistent learner
3390,145,1,0,0,0,fast learner
3390,153,1,0,1,1,consistent learner
3390,159,1,0,1,1,consistent learner
3390,163,1,0,0,0,fast learner
3390,165,1,1,1,1,consistent learner
3390,169,1,1,1,1,consistent learner
3390,171,1,0,0,0,fast learner
3390,177,1,0,1,1,consistent learner
3390,184,1,1,1,1,consistent learner
3390,185,1,0,1,1,consistent learner
3390,191,1,1,1,1,consistent learner
3390,195,1,0,1,1,consistent learner
3390,202,1,1,0,0,fast learner
3390,219,1,0,1,1,consistent learner
3390,237,1,0,1,1,consistent learner
3390,251,1,0,0,0,fast learner
3390,256,1,0,1,1,consistent learner
3390,261,1,0,0,0,fast learner
3390,266,1,0,1,1,consistent learner
3390,271,1,1,1,1,consistent learner
3390,276,1,1,1,1,consistent learner
3390,292,1,0,0,0,fast learner
3390,297,1,0,0,0,fast learner
3390,302,1,0,1,1,consistent learner
3390,312,0,0,0,2,reflective learner
3390,313,1,0,0,0,fast learner
3390,315,1,0,1,1,consistent learner
3390,317,1,0,1,1,consistent learner
3390,319,1,1,1,1,consistent learner
3390,335,1,0,0,0,fast learner
3390,337,1,0,1,1,consistent learner
3390,342,1,0,1,1,consistent learner
3390,352,1,1,0,0,fast learner
3390,382,1,0,1,1,consistent learner
3390,387,1,0,1,1,consistent learner
3390,403,1,0,0,0,fast learner
3390,413,1,1,1,1,consistent learner
3390,418,1,1,1,1,consistent learner
3390,423,1,0,0,0,fast learner
3390,428,1,0,0,0,fast learner
3390,433,1,0,0,0,fast learner
3390,443,1,0,0,0,fast learner
3390,485,0,0,0,2,reflective learner
3390,490,0,0,0,2,reflective learner
3390,495,0,0,0,2,reflective learner
3390,500,0,0,0,2,reflective learner
3390,555,1,0,1,1,consistent learner
3390,570,1,0,0,0,fast learner
3390,590,1,1,1,1,consistent learner
3390,600,1,0,0,0,fast learner
3390,605,1,0,0,0,fast learner
3390,615,1,0,0,0,fast learner
3390,653,1,0,1,1,consistent learner
3390,673,0,0,0,2,reflective learner
3390,697,1,0,0,0,fast learner
3390,713,1,0,1,1,consistent learner
3390,748,0,0,1,2,reflective learner
3390,753,1,0,0,0,fast learner
3390,818,1,0,0,0,fast learner
3390,828,0,0,1,2,reflective learner
3390,852,1,0,0,0,fast learner
3390,862,1,0,0,0,fast learner
3390,867,1,0,0,0,fast learner
5774,51,0,0,0,2,reflective learner
5774,86,1,1,1,1,consistent learner
5774,116,0,0,0,2,reflective learner
5774,123,1,1,1,1,consistent learner
5774,133,1,0,0,0,fast learner
5774,177,1,0,1,1,consistent learner
5774,184,1,0,1,1,consistent learner
5774,185,1,0,0,0,fast learner
5774,237,1,0,0,0,fast learner
5774,256,1,1,1,1,consistent learner
5774,261,1,0,0,0,fast learner
5774,266,1,0,0,0,fast learner
5774,271,1,0,1,1,consistent learner
5774,276,1,0,0,0,fast learner
5774,302,1,0,0,0,fast learner
5774,313,1,0,1,1,consistent learner
5774,315,0,0,1,2,reflective learner
