developer_id,journey_id,name,difficulty,hours_to_study,study_duration,completion_speed,completed_modules,total_modules_viewed,avg_study_hour,study_consistency_std,study_consistency_ratio,speed_percentile,speed_category
3390,14,Belajar Fundamental Aplikasi Android,2.0,140.0,73.0,0.5214285714285715,104,189,14.264550264550264,69.60238521818937,0.02813425468904245,67.3913043478261,Fast (< 70%)
3390,32,Belajar Membangun LINE Chatbot,1.0,20.0,16.0,0.56,0,30,13.366666666666667,439.0,0.003389830508474576,47.05882352941176,Fast (< 70%)
3390,47,Menjadi Game Developer Expert,2.0,140.0,81.0,0.5785714285714286,0,125,12.824,113.39544221788402,0.03502626970227671,100.0,Fast (< 70%)
3390,51,Belajar Membuat Aplikasi Android untuk Pemula,1.0,60.0,16.0,0.56,30,34,15.558823529411764,582.6939547463653,0.0036101083032490976,43.47826086956522,Fast (< 70%)
3390,55,Kotlin Android Developer Expert,2.0,70.0,42.0,0.6,5,58,13.517241379310345,140.26425031830235,0.010727611940298507,66.66666666666666,Fast (< 70%)
3390,58,Belajar Membuat Game untuk Pemula,1.0,40.0,3.0,0.075,0,26,11.384615384615385,246.4,0.00964630225080386,12.5,Fast (< 70%)
3390,60,Memulai Pemrograman Dengan Java,0.0,15.0,1.0,0.06666666666666667,36,43,11.581395348837209,317.4266647589644,0.004125412541254125,50.0,Fast (< 70%)
3390,68,Belajar Membuat Aplikasi Kognitif,1.0,15.0,0.0,0.0,0,23,8.0,79.79974937304002,0.019230769230769232,19.230769230769234,
3390,74,Membangun Progressive Web Apps,2.0,70.0,16.0,0.56,0,11,10.545454545454545,171.78345541860415,0.00667779632721202,50.0,Fast (< 70%)
3390,80,Memulai Pemrograman dengan Kotlin,0.0,50.0,503.0,10.0,141,141,12.936170212765957,123.02001247515688,0.012038523274478331,100.0,Slow (> 130%)
3390,83,Menjadi Azure Cloud Developer,2.0,40.0,48.0,1.2,0,40,18.075,61.43056475171204,0.035555555555555556,84.61538461538461,Normal (70-130%)
3390,86,Memulai Pemrograman dengan Python,0.0,60.0,4.0,0.06666666666666667,83,97,13.360824742268042,211.87439675430346,0.0067943174799258805,52.083333333333336,Fast (< 70%)
3390,104,Menjadi AWS Solutions Architect Associate,2.0,40.0,47.0,1.175,0,72,18.444444444444443,54.574386266486194,0.04938271604938271,100.0,Normal (70-130%)
3390,116,Source Code Management untuk Pemula,1.0,10.0,16.0,0.56,0,19,9.31578947368421,0.0,0.005934718100890208,52.77777777777778,Fast (< 70%)
3390,120,Memulai Pemrograman Dengan C,0.0,15.0,2.0,0.13333333333333333,17,48,16.354166666666668,150.5,0.00980392156862745,57.14285714285714,Fast (< 70%)
3390,123,Belajar Dasar Pemrograman Web,0.0,45.0,12.0,0.26666666666666666,126,156,13.85897435897436,125.71014278887762,0.01083743842364532,42.30769230769231,Fast (< 70%)
3390,129,Belajar Android Jetpack Pro,3.0,70.0,60.0,0.8571428571428571,1,62,14.274193548387096,117.13187012935464,0.019296254256526674,81.81818181818183,Normal (70-130%)
3390,133,Menjadi Google Cloud Engineer,2.0,42.0,16.0,0.56,27,57,14.192982456140351,296.9938270963444,0.005834305717619603,34.21052631578947,Fast (< 70%)
3390,135,Belajar Membuat Augmented Reality,0.0,40.0,20.0,0.5,0,42,14.547619047619047,4.636809247747852,0.23809523809523808,90.0,Fast (< 70%)
3390,144,Belajar Dasar-Dasar Azure Cloud,0.0,40.0,6.0,0.15,0,94,15.03191489361702,81.8424553639491,0.025252525252525252,26.666666666666668,Fast (< 70%)
3390,145,Memulai Pemrograman Dengan Swift,0.0,40.0,4.0,0.1,84,89,17.764044943820224,389.0,0.0038412291933418692,12.5,Fast (< 70%)
3390,150,Belajar Membuat Virtual Reality,0.0,40.0,16.0,0.56,0,40,14.4,0.0,1.0,50.0,Fast (< 70%)
3390,153,Belajar Membangun LINE Front-end Framework (LIFF),0.0,15.0,16.0,0.56,27,28,12.785714285714286,0.0,0.6666666666666666,40.625,Fast (< 70%)
3390,155,Belajar Membuat Mixed Reality,0.0,40.0,16.0,0.56,0,20,14.4,0.0,1.0,55.00000000000001,Fast (< 70%)
