developer_id,journey_id,name,avg_study_hour,study_consistency_std,study_consistency_ratio,completed_modules,total_modules_viewed,avg_exam_score,exam_pass_rate,exam_fail_count,avg_submission_rating,submission_pass_rate,submission_fail_count,submission_fail_rate,completion_speed,retry_count,performance_score,struggle_score,study_time_slot,performance_level,speed_category,difficulty
3390,14,Belajar Fundamental Aplikasi Android,14.264550264550264,69.60238521818937,0.02813425468904245,104,189,62.5,0.75,2.0,1.8,0.0,10.0,1.0,0.5214285714285715,1.0,46.599999999999994,22.0,Afternoon (12-18),Medium,Fast (< 70%),2.0
3390,32,Belajar Membangun LINE Chatbot,13.366666666666667,439.0,0.003389830508474576,0,30,83.84615384615384,0.0,0.0,2.6153846153846154,0.0,0.0,0.0,0.56,0.0,0.0,0.0,Afternoon (12-18),Low,Fast (< 70%),1.0
3390,47,Menjadi Game Developer Expert,12.824,113.39544221788402,0.03502626970227671,0,125,83.84615384615384,0.0,0.0,2.25,0.0,4.0,1.0,0.5785714285714286,1.0,27.0,8.0,Afternoon (12-18),Low,Fast (< 70%),2.0
3390,51,Belajar Membuat Aplikasi Android untuk Pemula,15.558823529411764,582.6939547463653,0.0036101083032490976,30,34,65.0,0.4,6.0,2.6153846153846154,0.0,0.0,0.0,0.56,0.0,26.0,6.0,Afternoon (12-18),Low,Fast (< 70%),1.0
3390,55,Kotlin Android Developer Expert,13.517241379310345,140.26425031830235,0.010727611940298507,5,58,83.84615384615384,0.0,0.0,2.8333333333333335,0.0,6.0,1.0,0.6,1.0,34.0,12.0,Afternoon (12-18),Low,Fast (< 70%),2.0
3390,58,Belajar Membuat Game untuk Pemula,11.384615384615385,246.4,0.00964630225080386,0,26,83.84615384615384,0.0,0.0,1.5,0.0,2.0,1.0,0.075,1.0,18.0,4.0,Morning (6-12),Low,Fast (< 70%),1.0
3390,60,Memulai Pemrograman Dengan Java,11.581395348837209,317.4266647589644,0.004125412541254125,36,43,95.0,1.0,0.0,2.6153846153846154,0.0,0.0,0.0,0.06666666666666667,2.0,38.0,0.0,Morning (6-12),Low,Fast (< 70%),0.0
3390,68,Belajar Membuat Aplikasi Kognitif,8.0,79.79974937304002,0.019230769230769232,0,23,88.0,1.0,0.0,2.6153846153846154,0.0,0.0,0.0,0.0,2.0,35.2,0.0,Morning (6-12),Low,Fast (< 70%),1.0
3390,74,Membangun Progressive Web Apps,10.545454545454545,171.78345541860415,0.00667779632721202,0,11,83.84615384615384,0.0,0.0,2.6153846153846154,0.0,0.0,0.0,0.56,0.0,0.0,0.0,Morning (6-12),Low,Fast (< 70%),2.0
3390,80,Memulai Pemrograman dengan Kotlin,12.936170212765957,123.02001247515688,0.012038523274478331,141,141,83.46666666666667,0.7333333333333333,4.0,4.0,0.0,1.0,1.0,10.0,1.0,81.38666666666667,6.0,Afternoon (12-18),High,Slow (> 130%),0.0
